Reference,old_new,test_textbox.text,,,
,,,,,
book,old,book,,,
police,old,police,,,
cruise,old,cruise,,,
poster,old,poster,,Proportion of hit from study list,1
pencil,new,pencil,,Proportion of hit from non primed words,1
chart,old,chart,,,
pastry,old,pastry,,Priming Score,0
bottle,new,bottle,,,
table,new,table,,,
cushion,old,cushion,,,
keys,old,keys,,,
camera,new,camera,,,
board,old,board,,,
laptop,old,laptop,,,
marble,old,marble,,,
mouse,old,mouse,,,
vase,new,vase,,,
phone,old,phone,,,
tshirt,old,tshirt,,,
case,old,case,,,
