Reference,old_new,test_textbox.text,,,,
board,old,board,,,,
cushion,old,cushion,,,,
keys,old,keys,,,,
pencil,new,pencil,,,,
phone,old,shoes,,Proportion of hit from study list,,0.866666667
mouse,old,mouse,,Proportion of hit from non primed words,,1
poster,old,poster,,,,
camera,new,camera,,Priming Score,,-0.133333333
book,old,book,,,,
bottle,new,bottle,,,,
table,new,table,,,,
marble,old,marble,,,,
case,old,case,,,,
chart,old,chant,,,,
pastry,old,pastry,,,,
laptop,old,laptop,,,,
vase,new,vase,,,,
tshirt,old,tshirt,,,,
cruise,old,cruise,,,,
police,old,police,,,,
